PRICE,DISCOUNT_AMT,AMT,QTY,age,educ,size_hh,income_cat,income_est,Min_TIER,TENURE,sales_prop,spring_prop,fall_prop,holiday_prop,bts_prop,clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,prop_m_prod,prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
34.95,0,34.95,1,37,1,1,65k-85k,75,2,979,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,168,0,0,0,0,,,,,1,0,0,1,0,0,0,0,0,0,18,0,22,1,2.648675073
34.95,0,34.95,1,37,1,1,65k-85k,75,2,903,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,172,0,0,0,0,7,,,,2,1,0,0,0,0,0,0,0,0,16,1,18,1,3.066007668
34.99,0,34.99,1,27,1,1,65k-85k,75,2,1003,1,0,0,0,0,0.36,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,15,0,0,1,0,374,,,,2,0,0,0,1,0,0,0,0,0,14,1,32,1,3.010775136
35.94,0,35.94,1,17,1,1,65k-85k,75,2,300,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,173,0,0,0,0,2,,,,2,0,0,0,0,0,0,0,0,1,18,1,21,1,4.094418395
37.4,-6.6,37.4,1,37,1,,45k-65k,55,2,1005,0,0,0,1,0,0.19,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,4,101,1,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,16,1,11,1,2.766014599
39.9,0,39.9,1,37,1,1,65k-85k,75,2,1306,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,166,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,18,1,11,1,3.760139784
39.9,0,39.9,1,37,1,1,65k-85k,75,2,817,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,7,0,0,0,0,711,,,,2,0,0,1,0,0,0,0,0,0,18,1,13,1,3.160382715
39.9,0,39.9,1,37,1,,65k-85k,75,2,903,0,0,0,1,0,0.43,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,7,12,3,1,0,0,14,161,5,,4,0,1,0,0,0,0,0,0,0,16,0,3,1,3.643916405
39.95,-39.95,39.95,1,37,1,1,45k-65k,55,2,979,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,4,146,0,0,0,0,,,,,1,0,0,1,0,0,0,0,0,0,16,1,14,1,2.790663004
39.95,-30,39.95,1,17,1,2,45k-65k,55,2,1273,0,0,0,1,0,0.02,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,1,1,0,609,15,,,3,0,0,1,0,0,0,0,0,0,14,1,17,1,3.600671638
